id,yr,monthnum,monthname,monthend,cregion,cdistrict,pregion,pdistrict,creason,tpeople,yrmonthnam,yrmonthnum,pvalue,adjustments,changedvalue,comments
152,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,765,Jan '16,2016-01,,,,
153,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,564,Jan '16,2016-01,,,,
154,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,5,Jan '16,2016-01,,,,
155,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Other,5,Jan '16,2016-01,,,,
156,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Xarardheere,Conflict/Insecurity,5,Jan '16,2016-01,,,,
157,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Xarardheere,Conflict/Insecurity,8,Jan '16,2016-01,,,,
158,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Xarardheere,Conflict/Insecurity,7,Jan '16,2016-01,,,,
159,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Nugaal,Garoowe,Drought related,5,Jan '16,2016-01,,,,
160,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Woqooyi Galbeed,Berbera,Other,6,Jan '16,2016-01,,,,
161,2016,1,Jan,31/01/2016,Togdheer,Buuhoodle,Togdheer,Buuhoodle,Conflict/Insecurity,807,Jan '16,2016-01,,,,
162,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Mudug,Gaalkacyo,Conflict/Insecurity,7,Jan '16,2016-01,,,,
163,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Sool,Caynabo,Drought related,5,Jan '16,2016-01,,,,
164,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Sool,Caynabo,Drought related,3,Jan '16,2016-01,,,,
165,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Togdheer,Burco,Drought related,6,Jan '16,2016-01,,,,
166,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Berbera,Drought related,3,Jan '16,2016-01,,,,
167,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Berbera,Drought related,5,Jan '16,2016-01,,,,
168,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Berbera,Drought related,5,Jan '16,2016-01,,,,
169,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Berbera,Drought related,7,Jan '16,2016-01,,,,
170,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Berbera,Drought related,3,Jan '16,2016-01,,,,
171,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Hargeysa,Drought related,12,Jan '16,2016-01,,,,
172,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Hargeysa,Drought related,8,Jan '16,2016-01,,,,
173,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Berbera,Woqooyi Galbeed,Hargeysa,Drought related,6,Jan '16,2016-01,,,,
174,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Awdal,Borama,Other,5,Jan '16,2016-01,,,,
175,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
176,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,5,Jan '16,2016-01,,,,
177,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
178,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
179,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
180,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
181,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
182,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,5,Jan '16,2016-01,,,,
183,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
184,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,8,Jan '16,2016-01,,,,
185,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,4,Jan '16,2016-01,,,,
186,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,3,Jan '16,2016-01,,,,
187,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
188,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
189,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,4,Jan '16,2016-01,,,,
190,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,3,Jan '16,2016-01,,,,
191,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,10,Jan '16,2016-01,,,,
192,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,8,Jan '16,2016-01,,,,
193,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,3,Jan '16,2016-01,,,,
194,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Bari,Bossaso,Drought related,4,Jan '16,2016-01,,,,
195,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Galgaduud,Cabudwaaq,Drought related,6,Jan '16,2016-01,,,,
196,2016,1,Jan,31/01/2016,Woqooyi Galbeed,Hargeysa,Galgaduud,Cabudwaaq,Drought related,5,Jan '16,2016-01,,,,
